dwpf,relh,drct,sknt,alti,vsby,feel,temp_c
39.2,34.8,320.0,18.0,30.09,6.21,68.0,20.0
33.8,26.43,330.0,6.0,30.18,6.21,69.8,21.0
42.8,31.34,170.0,3.0,30.15,6.21,73.89,24.0
24.8,14.37,170.0,6.0,30.12,6.21,75.08,25.0
35.6,23.66,0.0,0.0,30.06,6.21,73.53,24.0
23.0,15.03,360.0,11.0,30.09,6.21,71.15,23.000000000000004
35.6,30.2,340.0,16.0,30.18,6.21,68.0,20.0
17.6,13.49,10.0,11.0,30.18,6.21,69.8,21.0
28.4,19.98,330.0,6.0,30.18,6.21,69.4,21.999999999999996
28.4,19.98,320.0,8.0,30.15,6.21,69.4,21.999999999999996
32.0,24.59,340.0,5.0,30.21,6.21,69.8,21.0
30.2,22.86,150.0,6.0,30.18,6.21,69.8,21.0
30.2,21.5,160.0,8.0,30.09,4.97,69.47,21.999999999999996
35.6,22.28,230.0,3.0,30.12,6.21,75.45,25.0
32.0,20.49,180.0,6.0,30.18,6.21,73.38,24.0
37.4,26.98,190.0,4.0,30.24,6.21,71.71,23.000000000000004
39.2,27.26,190.0,5.0,30.24,6.21,73.7,24.0
26.6,17.46,150.0,15.0,30.06,4.97,71.26,23.000000000000004
35.6,22.28,180.0,6.0,30.03,6.21,75.45,25.0
41.0,29.23,150.0,10.0,30.0,4.97,73.79,24.0
48.2,34.13,320.0,12.0,30.06,6.21,78.8,26.0
42.8,37.61,30.0,8.0,30.15,6.21,69.8,21.0
41.0,33.0,140.0,5.0,30.12,6.21,70.01,21.999999999999996
46.4,31.9,160.0,9.0,29.97,6.21,78.8,26.0
37.4,22.54,260.0,9.0,30.0,6.21,77.44,26.0
30.2,25.88,10.0,8.0,30.15,3.11,66.2,19.0
32.0,27.83,350.0,8.0,30.15,6.21,66.2,19.0
33.8,31.85,150.0,7.0,30.12,5.59,64.4,18.000000000000004
39.2,25.67,170.0,4.0,30.03,6.21,75.61,25.0
46.4,30.07,140.0,3.0,30.15,4.97,79.56,26.999999999999996
41.0,23.07,160.0,8.0,30.09,4.97,80.29,28.000000000000004
42.8,20.79,220.0,6.0,29.97,4.97,84.4,31.0
41.0,23.07,150.0,10.0,29.94,1.86,80.29,28.000000000000004
32.0,13.59,220.0,10.0,29.77,6.21,84.08,31.0
44.6,31.62,270.0,15.0,29.83,4.97,75.89,25.0
28.4,29.06,40.0,8.0,30.03,5.59,60.8,16.0
24.8,20.72,170.0,10.0,29.88,4.97,66.2,19.0
19.4,22.68,360.0,10.0,30.18,6.21,57.2,14.000000000000002
24.8,25.04,60.0,5.0,30.15,6.21,60.8,16.0
24.8,18.3,160.0,7.0,30.03,4.35,69.8,21.0
32.0,17.14,240.0,9.0,29.94,6.21,78.82,26.999999999999996
37.4,23.93,150.0,5.0,30.06,6.21,75.52,25.0
39.2,25.67,140.0,8.0,30.12,6.21,75.61,25.0
37.4,21.25,180.0,8.0,30.09,6.21,79.02,26.999999999999996
35.6,17.61,180.0,5.0,30.06,4.97,81.34,29.0
33.8,15.48,360.0,7.0,30.06,6.21,82.66,30.0
42.8,20.79,300.0,3.0,30.09,6.21,84.4,31.0
44.6,22.27,160.0,4.0,30.18,6.21,84.53,31.0
35.6,15.7,260.0,5.0,30.09,6.21,84.12,31.0
33.8,14.61,240.0,5.0,30.0,6.21,84.1,31.0
33.8,16.39,320.0,9.0,30.0,4.97,81.3,29.0
26.6,12.97,310.0,8.0,30.03,6.21,79.92,28.000000000000004
32.0,12.84,220.0,8.0,29.91,6.21,85.54,32.0
48.2,24.11,0.0,0.0,29.91,2.49,86.44,32.0
46.4,28.36,80.0,6.0,29.77,3.73,80.64,28.000000000000004
46.4,31.9,330.0,7.0,29.77,1.24,78.8,26.0
30.2,13.38,260.0,20.0,29.71,1.24,82.64,30.0
41.0,25.95,300.0,3.0,29.94,2.49,77.6,26.0
33.8,19.55,170.0,7.0,29.97,3.73,77.3,26.0
32.0,15.25,200.0,13.0,29.88,1.24,81.28,29.0
35.6,22.28,320.0,10.0,30.0,3.73,75.45,25.0
35.6,22.28,280.0,5.0,30.0,6.21,75.45,25.0
30.2,13.38,300.0,13.0,29.94,4.35,82.64,30.0
30.2,17.94,310.0,7.0,30.09,6.21,75.24,25.0
28.4,12.44,290.0,6.0,30.09,4.97,82.54,30.0
44.6,19.89,260.0,5.0,30.12,3.73,87.68,33.0
24.8,6.49,210.0,2.0,30.21,4.35,94.91,39.0
46.4,23.85,120.0,2.0,30.18,4.97,84.68,31.0
42.8,17.55,330.0,2.0,30.18,6.21,89.17,34.0
46.4,21.29,0.0,0.0,30.18,6.21,87.86,33.0
41.0,17.32,160.0,3.0,30.18,6.21,87.4,33.0
33.8,13.05,150.0,5.0,30.12,6.21,87.13,33.0
32.0,11.48,150.0,4.0,30.03,6.21,88.31,34.0
30.2,10.09,60.0,4.0,30.0,4.97,89.48,35.0
24.8,7.65,220.0,6.0,29.94,6.21,90.4,36.0
32.0,9.72,120.0,5.0,29.97,6.21,92.69,37.0
21.2,6.95,160.0,11.0,29.97,4.35,88.62,35.0
30.2,16.9,30.0,12.0,30.06,0.06,77.17,26.0
28.4,14.81,90.0,9.0,30.03,2.49,78.72,26.999999999999996
24.8,16.2,30.0,12.0,30.12,3.11,71.2,23.000000000000004
28.4,15.71,20.0,7.0,30.03,4.35,77.12,26.0
26.6,13.75,340.0,6.0,30.0,6.21,78.68,26.999999999999996
26.6,12.23,130.0,6.0,29.91,6.21,81.13,29.0
41.0,18.33,160.0,6.0,29.88,6.21,85.82,32.0
35.6,13.25,160.0,14.0,29.74,1.86,88.76,34.0
35.6,17.61,330.0,4.0,29.88,3.11,81.34,29.0
32.0,14.4,310.0,6.0,29.94,6.21,82.64,30.0
42.8,23.33,50.0,5.0,30.06,4.35,81.61,29.0
41.0,19.4,170.0,11.0,29.97,6.21,84.3,31.0
46.4,20.13,320.0,3.0,29.97,4.35,89.55,34.0
32.0,15.25,20.0,10.0,30.06,4.35,81.28,29.0
30.2,12.64,10.0,5.0,30.03,6.21,84.01,31.0
33.8,12.34,340.0,5.0,30.06,6.21,88.55,34.0
41.0,17.32,180.0,2.0,30.09,6.21,87.4,33.0
42.8,22.02,230.0,5.0,30.03,4.35,82.95,30.0
42.8,19.64,300.0,10.0,29.97,6.21,85.93,32.0
41.0,17.32,130.0,7.0,29.88,4.35,87.4,33.0
35.6,11.86,160.0,11.0,29.85,3.73,91.72,36.0
48.2,22.78,130.0,6.0,29.91,3.73,88.09,33.0
50.0,24.37,120.0,3.0,29.88,6.21,88.36,33.0
41.0,17.32,110.0,8.0,29.94,4.97,87.4,33.0
48.2,25.52,120.0,8.0,29.91,4.35,84.87,31.0
50.0,27.29,170.0,13.0,29.85,4.35,85.11,31.0
48.2,20.38,200.0,8.0,29.83,6.21,91.56,35.0
51.8,27.56,230.0,10.0,29.97,4.97,87.0,32.0
53.6,31.17,220.0,14.0,30.0,2.8,85.72,31.0
35.6,11.86,210.0,13.0,29.88,2.49,91.72,36.0
42.8,16.6,300.0,9.0,29.91,4.35,90.86,35.0
39.2,15.27,330.0,9.0,29.94,4.97,88.92,34.0
50.0,20.62,270.0,3.0,29.88,4.97,93.71,36.0
44.6,15.08,240.0,13.0,29.74,2.49,96.31,38.0
42.8,13.34,190.0,16.0,29.74,4.35,97.76,39.0
51.8,23.3,250.0,6.0,29.83,3.73,92.26,35.0
41.0,21.76,60.0,12.0,29.94,3.11,81.52,29.0
41.0,19.4,40.0,6.0,29.97,4.35,84.3,31.0
39.2,17.09,140.0,6.0,29.94,4.97,85.73,32.0
39.2,15.27,170.0,11.0,29.97,4.97,88.92,34.0
41.0,13.87,150.0,9.0,29.91,3.73,94.09,37.0
39.2,11.6,210.0,18.0,29.85,6.21,96.99,39.0
46.4,18.02,130.0,6.0,29.83,1.24,93.05,36.0
39.2,12.94,140.0,13.0,29.85,1.86,93.89,37.0
57.2,37.62,20.0,8.0,29.88,4.97,84.97,30.0
59.0,35.81,170.0,11.0,29.88,4.97,89.6,32.0
59.0,37.9,170.0,7.0,29.85,3.73,87.8,31.0
60.8,42.8,120.0,9.0,29.88,4.97,86.05,30.0
55.4,35.25,140.0,8.0,29.85,4.97,84.54,30.0
53.6,26.31,240.0,6.0,29.83,6.21,90.86,34.0
