,temp_c
0,20.0
1,21.0
2,24.0
3,25.0
4,24.0
5,23.000000000000004
6,20.0
7,21.0
8,21.999999999999996
9,21.999999999999996
10,21.0
11,21.0
12,21.999999999999996
13,25.0
14,24.0
15,23.000000000000004
16,24.0
17,23.000000000000004
18,25.0
19,24.0
20,26.0
21,21.0
22,21.999999999999996
23,26.0
24,26.0
25,19.0
26,19.0
27,18.000000000000004
28,25.0
29,26.999999999999996
30,28.000000000000004
31,31.0
32,28.000000000000004
33,31.0
34,25.0
35,16.0
36,19.0
37,14.000000000000002
38,16.0
39,21.0
40,26.999999999999996
41,25.0
42,25.0
43,26.999999999999996
44,29.0
45,30.0
46,31.0
47,31.0
48,31.0
49,31.0
50,29.0
51,28.000000000000004
52,32.0
53,32.0
54,28.000000000000004
55,26.0
56,30.0
57,26.0
58,26.0
59,29.0
60,25.0
61,25.0
62,30.0
63,25.0
64,30.0
65,33.0
66,39.0
67,31.0
68,34.0
69,33.0
70,33.0
71,33.0
72,34.0
73,35.0
74,36.0
75,37.0
76,35.0
77,26.0
78,26.999999999999996
79,23.000000000000004
80,26.0
81,26.999999999999996
82,29.0
83,32.0
84,34.0
85,29.0
86,30.0
87,29.0
88,31.0
89,34.0
90,29.0
91,31.0
92,34.0
93,33.0
94,30.0
95,32.0
96,33.0
97,36.0
98,33.0
99,33.0
100,33.0
101,31.0
102,31.0
103,35.0
104,32.0
105,31.0
106,36.0
107,35.0
108,34.0
109,36.0
110,38.0
111,39.0
112,35.0
113,29.0
114,31.0
115,32.0
116,34.0
117,37.0
118,39.0
119,36.0
120,37.0
121,30.0
122,32.0
123,31.0
124,30.0
125,30.0
126,34.0
127,36.0
128,38.0
129,39.0
130,41.0
131,40.0
132,40.0
133,38.0
134,39.0
135,40.0
136,39.0
137,38.0
138,40.0
139,41.0
140,42.0
141,39.0
142,40.0
143,42.0
144,36.0
145,38.0
146,41.0
147,42.0
148,43.0
149,43.0
150,42.0
151,42.0
152,42.0
153,43.0
154,41.0
155,44.0
156,44.0
157,43.0
158,41.0
159,42.0
160,43.0
161,43.0
162,43.0
163,44.0
164,46.0
165,46.0
166,47.0
167,46.0
168,47.0
169,46.0
170,47.0
171,43.0
172,42.0
173,43.0
174,40.0
175,43.0
176,42.0
177,39.0
178,38.0
179,39.0
180,39.0
181,42.0
182,43.0
183,43.0
184,42.0
185,43.0
186,44.0
187,45.0
188,43.0
189,43.0
190,44.0
191,43.0
192,46.0
193,46.0
194,46.0
195,47.0
196,46.0
197,46.0
198,45.0
199,45.0
200,43.0
201,42.0
202,43.0
203,44.0
204,43.0
205,43.0
206,42.0
207,42.0
208,41.0
209,42.0
210,44.0
211,44.0
212,43.0
213,43.0
214,43.0
215,44.0
216,44.0
217,42.0
218,43.0
219,44.0
220,43.0
221,45.0
222,45.0
223,44.0
224,45.0
225,44.0
226,45.0
227,45.0
228,43.0
229,43.0
230,44.0
231,43.0
232,43.0
233,43.0
234,43.0
235,44.0
236,45.0
237,43.0
238,45.0
239,44.0
240,44.0
241,44.0
242,45.0
243,44.0
244,45.0
245,43.0
246,42.0
247,41.0
248,41.0
249,43.0
250,43.0
251,42.0
252,41.0
253,41.0
254,40.0
255,40.0
256,41.0
257,41.0
258,39.0
259,40.0
260,40.0
261,38.0
262,39.0
263,39.0
264,39.0
265,41.0
266,38.0
267,40.0
268,40.0
269,39.0
270,38.0
271,38.0
272,38.0
273,39.0
274,39.0
275,38.0
276,38.0
277,37.0
278,38.0
279,39.0
280,38.0
281,40.0
282,38.0
283,37.0
284,38.0
285,33.0
286,33.0
287,35.0
288,34.0
289,35.0
290,34.0
291,35.0
292,35.0
293,35.0
294,36.0
295,36.0
296,35.0
297,35.0
298,34.0
299,34.0
300,32.0
301,33.0
302,35.0
303,33.0
304,32.0
305,34.0
306,31.0
307,28.000000000000004
308,28.000000000000004
309,26.0
310,26.0
311,26.999999999999996
312,26.999999999999996
313,29.0
314,28.000000000000004
315,28.000000000000004
316,29.0
317,29.0
318,28.000000000000004
319,25.0
320,26.0
321,26.999999999999996
322,26.0
323,26.999999999999996
324,26.999999999999996
325,26.0
326,24.0
327,24.0
328,25.0
329,24.0
330,24.0
331,24.0
332,23.000000000000004
333,24.0
334,25.0
335,23.000000000000004
336,25.0
337,25.0
338,24.0
339,23.000000000000004
340,23.000000000000004
341,24.0
342,24.0
343,24.0
344,26.0
345,26.999999999999996
346,26.0
347,18.000000000000004
348,20.0
349,25.0
350,25.0
351,25.0
352,25.0
353,21.999999999999996
354,21.999999999999996
355,21.999999999999996
356,21.0
357,21.0
358,24.0
359,21.999999999999996
360,20.0
361,18.000000000000004
362,18.000000000000004
363,19.0
364,23.000000000000004
365,20.0
366,19.0
367,21.0
368,21.999999999999996
369,24.0
370,23.000000000000004
371,21.0
372,21.0
373,21.999999999999996
374,17.0
375,19.0
376,18.000000000000004
377,18.000000000000004
378,19.0
379,25.0
380,17.0
381,16.0
382,10.0
383,17.0
384,14.000000000000002
385,12.0
386,16.0
387,18.000000000000004
388,19.0
389,17.0
390,21.0
391,15.0
392,21.999999999999996
393,26.0
394,26.999999999999996
395,24.0
396,24.0
397,18.000000000000004
398,21.0
399,29.0
400,17.0
401,21.0
402,26.0
403,16.0
404,21.999999999999996
405,21.0
406,19.0
407,20.0
408,19.0
409,21.0
410,26.999999999999996
411,23.000000000000004
412,21.999999999999996
413,23.000000000000004
414,28.000000000000004
415,25.0
416,24.0
417,26.999999999999996
418,31.0
419,31.0
420,32.0
421,28.000000000000004
422,26.999999999999996
423,26.0
424,23.000000000000004
425,23.000000000000004
426,24.0
427,24.0
428,23.000000000000004
429,25.0
430,26.0
431,30.0
432,35.0
433,28.000000000000004
434,25.0
435,21.999999999999996
436,16.0
437,18.000000000000004
438,17.0
439,21.0
440,24.0
441,26.999999999999996
442,29.0
443,32.0
444,34.0
445,33.0
446,28.000000000000004
447,30.0
448,23.000000000000004
449,25.0
450,26.999999999999996
451,29.0
452,28.000000000000004
453,26.0
454,30.0
455,32.0
456,33.0
457,36.0
458,33.0
459,31.0
460,30.0
461,34.0
462,35.0
463,32.0
464,30.0
465,36.0
466,31.0
467,25.0
468,18.000000000000004
469,26.0
470,19.0
471,29.0
472,32.0
473,35.0
474,35.0
475,35.0
476,36.0
477,36.0
478,36.0
479,36.0
480,35.0
481,34.0
482,37.0
483,38.0
484,36.0
485,32.0
486,35.0
487,37.0
488,34.0
489,40.0
490,40.0
491,40.0
492,39.0
493,40.0
494,41.0
495,41.0
496,42.0
497,40.0
498,38.0
499,38.0
500,39.0
501,40.0
502,41.0
503,42.0
504,41.0
505,41.0
506,40.0
507,39.0
508,40.0
509,40.0
510,41.0
511,39.0
512,41.0
513,41.0
514,41.0
515,43.0
516,44.0
517,42.0
518,42.0
519,42.0
520,43.0
521,45.0
522,45.0
523,44.0
524,43.0
525,43.0
526,41.0
527,41.0
528,40.0
529,39.0
530,40.0
531,41.0
532,42.0
533,42.0
534,44.0
535,43.0
536,43.0
537,41.0
538,41.0
539,42.0
540,43.0
541,44.0
542,44.0
543,41.0
544,42.0
545,41.0
546,41.0
547,42.0
548,42.0
549,41.0
550,41.0
551,42.0
552,42.0
553,45.0
554,44.0
555,44.0
556,44.0
557,44.0
558,45.0
559,46.0
560,44.0
561,44.0
562,43.0
563,42.0
564,43.0
565,43.0
566,43.0
567,42.0
568,43.0
569,42.0
570,42.0
571,45.0
572,43.0
573,43.0
574,43.0
575,43.0
576,45.0
577,45.0
578,45.0
579,46.0
580,44.0
581,44.0
582,43.0
583,44.0
584,44.0
585,43.0
586,43.0
587,43.0
588,44.0
589,43.0
590,43.0
591,41.0
592,42.0
593,42.0
594,42.0
595,41.0
596,42.0
597,43.0
598,43.0
599,43.0
600,41.0
601,42.0
602,43.0
603,43.0
604,42.0
605,43.0
606,41.0
607,41.0
608,41.0
609,40.0
610,40.0
611,41.0
612,42.0
613,43.0
614,42.0
615,40.0
616,42.0
617,40.0
618,40.0
619,39.0
620,39.0
621,38.0
622,39.0
623,40.0
624,41.0
625,41.0
626,42.0
627,39.0
628,37.0
629,39.0
630,41.0
631,40.0
632,40.0
633,40.0
634,40.0
635,39.0
636,39.0
637,40.0
638,40.0
639,37.0
640,37.0
641,35.0
642,34.0
643,34.0
644,35.0
645,36.0
646,34.0
647,33.0
648,34.0
649,35.0
650,34.0
651,34.0
652,34.0
653,34.0
654,35.0
655,35.0
656,36.0
657,28.000000000000004
658,31.0
659,31.0
660,34.0
661,35.0
662,34.0
663,33.0
664,33.0
665,33.0
666,32.0
667,29.0
668,31.0
669,26.0
670,26.0
671,29.0
672,31.0
673,31.0
674,25.0
675,23.000000000000004
676,23.000000000000004
677,21.999999999999996
678,26.999999999999996
679,28.000000000000004
680,30.0
681,30.0
682,31.0
683,33.0
684,26.999999999999996
685,28.000000000000004
686,29.0
687,30.0
688,25.0
689,16.0
690,20.0
691,20.0
692,21.0
693,21.0
694,16.0
695,19.0
696,12.0
697,13.0
698,17.0
699,18.000000000000004
700,18.000000000000004
701,16.0
702,17.0
703,20.0
704,20.0
705,21.0
706,23.000000000000004
707,23.000000000000004
708,18.000000000000004
709,19.0
710,19.0
711,24.0
712,21.999999999999996
713,24.0
714,23.000000000000004
715,19.0
716,20.0
717,19.0
718,19.0
719,20.0
720,23.000000000000004
721,26.999999999999996
722,28.000000000000004
723,20.0
724,18.000000000000004
725,17.0
726,19.0
727,18.000000000000004
728,20.0
729,26.999999999999996
730,26.999999999999996
731,19.0
732,17.0
733,19.0
734,24.0
735,24.0
736,26.0
737,25.0
738,21.0
739,25.0
740,21.0
741,26.0
742,17.0
743,16.0
744,18.000000000000004
745,23.000000000000004
746,21.999999999999996
747,23.000000000000004
748,18.000000000000004
749,13.0
750,14.000000000000002
751,17.0
752,17.0
753,18.000000000000004
754,21.999999999999996
755,25.0
756,25.0
757,19.0
758,19.0
759,26.0
760,30.0
761,18.000000000000004
762,16.0
763,17.0
764,18.000000000000004
765,19.0
766,20.0
767,26.0
768,28.000000000000004
769,30.0
770,21.0
771,18.000000000000004
772,21.0
773,26.0
774,29.0
775,31.0
776,26.0
777,26.0
778,19.0
779,18.000000000000004
780,17.0
781,18.000000000000004
782,19.0
783,26.999999999999996
784,29.0
785,19.0
786,21.0
787,26.0
788,29.0
789,26.0
790,28.000000000000004
791,18.000000000000004
792,18.000000000000004
793,24.0
794,20.0
795,24.0
796,26.0
797,26.999999999999996
798,25.0
799,26.0
800,30.0
801,33.0
802,34.0
803,35.0
804,26.999999999999996
805,28.000000000000004
806,16.0
807,18.000000000000004
808,21.0
809,21.0
810,24.0
811,25.0
812,24.0
813,26.0
814,26.0
815,31.0
816,31.0
817,32.0
818,29.0
819,26.0
820,21.999999999999996
821,30.0
822,34.0
823,33.0
824,30.0
825,29.0
826,26.999999999999996
827,31.0
828,32.0
829,31.0
830,35.0
831,31.0
832,32.0
833,28.000000000000004
834,29.0
835,33.0
836,33.0
837,32.0
838,34.0
839,30.0
840,32.0
841,30.0
842,32.0
843,30.0
844,32.0
845,35.0
846,35.0
847,38.0
848,39.0
849,36.0
850,38.0
851,39.0
852,39.0
853,40.0
854,40.0
855,41.0
856,39.0
857,39.0
858,40.0
859,39.0
860,40.0
861,42.0
862,41.0
863,42.0
864,37.0
865,39.0
866,40.0
867,42.0
868,43.0
869,43.0
870,42.0
871,42.0
872,37.0
873,42.0
874,39.0
875,41.0
876,41.0
877,39.0
878,40.0
879,41.0
880,43.0
881,42.0
882,40.0
883,39.0
884,41.0
885,41.0
886,42.0
887,43.0
888,41.0
889,41.0
890,43.0
891,43.0
892,43.0
893,42.0
894,43.0
895,43.0
896,41.0
897,43.0
898,44.0
899,46.0
900,44.0
901,43.0
902,43.0
903,43.0
904,41.0
905,42.0
906,42.0
907,41.0
908,42.0
909,43.0
910,42.0
911,43.0
912,43.0
913,43.0
914,45.0
915,42.0
916,41.0
917,41.0
918,42.0
919,43.0
920,43.0
921,42.0
922,42.0
923,43.0
924,44.0
925,46.0
926,46.0
927,47.0
928,46.0
929,46.0
930,45.0
931,45.0
932,44.0
933,44.0
934,45.0
935,46.0
936,44.0
937,44.0
938,44.0
939,44.0
940,44.0
941,44.0
942,45.0
943,45.0
944,45.0
945,45.0
946,43.0
947,42.0
948,42.0
949,43.0
950,44.0
951,45.0
952,44.0
953,43.0
954,43.0
955,42.0
956,42.0
957,42.0
958,42.0
959,44.0
960,45.0
961,43.0
962,44.0
963,43.0
964,42.0
965,42.0
966,41.0
967,40.0
968,42.0
969,42.0
970,44.0
971,45.0
972,43.0
973,43.0
974,41.0
975,40.0
976,42.0
977,41.0
978,40.0
979,41.0
980,40.0
981,40.0
982,41.0
983,42.0
984,41.0
985,40.0
986,40.0
987,39.0
988,40.0
989,40.0
990,40.0
991,41.0
992,40.0
993,38.0
994,39.0
995,39.0
996,38.0
997,38.0
998,38.0
999,38.0
1000,37.0
1001,37.0
1002,39.0
1003,36.0
1004,35.0
1005,36.0
1006,37.0
1007,37.0
1008,38.0
1009,36.0
1010,36.0
1011,37.0
1012,37.0
1013,36.0
1014,37.0
1015,37.0
