dwpf,relh,drct,alti,vsby,feel,temp_c
32.0,38.26,290.0,29.59,7.0,57.2,14.000000000000002
37.4,54.07,350.0,30.03,7.0,53.6,12.0
42.8,62.46,320.0,30.03,7.0,55.4,13.0
46.4,81.74,240.0,29.88,7.0,51.8,10.999999999999998
48.2,81.87,50.0,29.47,7.0,53.6,12.0
25.16,34.98,290.0,29.65,19.0,51.98,11.11111111111111
35.6,65.83,40.0,29.32,7.0,38.7,8.0
35.6,70.48,50.0,29.29,7.0,37.4,7.000000000000001
16.88,31.8,240.0,29.65,19.0,43.71,7.300000000000001
26.6,52.45,330.0,29.94,6.0,38.54,5.999999999999998
24.8,42.44,310.0,29.97,7.0,44.24,8.0
35.6,61.52,270.0,29.85,7.0,46.34,9.000000000000002
37.4,50.64,320.0,29.85,6.0,55.4,13.0
46.4,67.12,270.0,29.38,7.0,57.2,14.000000000000002
35.6,41.42,280.0,30.09,7.0,59.0,15.0
42.8,58.52,220.0,30.09,7.0,57.2,14.000000000000002
46.4,76.5,330.0,30.24,7.0,53.6,12.0
50.0,87.56,40.0,30.27,2.5,53.6,12.0
50.0,93.55,40.0,30.12,2.5,51.8,10.999999999999998
48.2,67.33,140.0,29.97,7.0,59.0,15.0
37.4,50.64,140.0,30.18,7.0,55.4,13.0
37.4,44.47,40.0,30.09,6.0,59.0,15.0
44.6,66.91,80.0,30.12,7.0,55.4,13.0
46.4,67.12,70.0,30.12,7.0,57.2,14.000000000000002
48.2,87.47,10.0,30.18,6.0,51.8,10.999999999999998
32.0,43.61,80.0,30.12,7.0,53.6,12.0
32.36,45.13,290.0,30.12,19.0,53.06,11.666666666666666
30.2,46.31,330.0,29.88,7.0,50.0,10.0
37.4,57.77,330.0,29.53,7.0,51.8,10.999999999999998
27.5,31.24,280.0,29.53,19.0,57.74,14.300000000000002
33.8,57.26,270.0,29.59,7.0,46.34,9.000000000000002
35.6,57.52,210.0,30.09,7.0,50.0,10.0
39.2,58.02,100.0,30.21,7.0,53.6,12.0
46.4,71.64,220.0,30.09,6.0,55.4,13.0
44.6,81.61,320.0,29.91,7.0,50.0,10.0
33.8,33.93,270.0,29.91,7.0,62.6,17.0
39.2,42.0,310.0,29.91,7.0,62.6,17.0
33.8,41.13,330.0,29.97,7.0,57.2,14.000000000000002
41.0,71.07,360.0,29.65,7.0,50.0,10.0
44.6,81.61,300.0,29.44,7.0,50.0,10.0
26.6,32.76,220.0,29.56,7.0,55.4,13.0
10.4,24.42,320.0,29.59,6.0,36.84,7.000000000000001
26.6,45.73,210.0,29.8,7.0,40.33,8.0
35.6,70.48,80.0,29.83,6.0,42.13,7.000000000000001
28.4,49.24,210.0,29.8,7.0,42.87,8.0
35.6,70.48,50.0,29.68,6.0,37.71,7.000000000000001
46.4,76.5,330.0,29.32,7.0,53.6,12.0
48.2,71.83,230.0,29.29,7.0,57.2,14.000000000000002
41.36,50.26,160.0,29.59,13.0,59.9,15.555555555555555
42.8,54.86,330.0,29.35,7.0,59.0,15.0
28.76,32.69,290.0,29.71,19.0,57.92,14.444444444444445
35.6,53.81,320.0,29.65,7.0,51.8,10.999999999999998
44.6,62.69,230.0,29.56,7.0,57.2,14.000000000000002
42.8,42.57,270.0,29.59,7.0,66.2,19.0
32.0,27.83,290.0,29.77,7.0,66.2,19.0
46.4,55.37,230.0,29.59,7.0,62.6,17.0
32.18,29.85,280.0,29.83,19.0,64.4,18.000000000000004
46.4,67.12,10.0,29.74,7.0,57.2,14.000000000000002
35.6,34.22,290.0,29.74,7.0,64.4,18.000000000000004
35.6,34.22,280.0,29.88,7.0,64.4,18.000000000000004
42.8,54.86,60.0,30.15,7.0,59.0,15.0
37.4,50.64,40.0,29.68,7.0,55.4,13.0
44.6,58.77,330.0,29.83,7.0,59.0,15.0
41.0,58.27,150.0,30.06,7.0,55.4,13.0
24.8,32.46,70.0,30.09,7.0,53.6,12.0
39.2,66.27,60.0,29.94,7.0,50.0,10.0
41.0,87.09,40.0,29.8,3.0,39.18,7.000000000000001
23.0,32.17,310.0,29.68,7.0,51.8,10.999999999999998
16.88,32.24,180.0,29.85,19.0,40.92,7.1000000000000005
20.48,33.06,230.0,29.94,12.0,47.21,9.000000000000002
35.6,65.83,300.0,30.06,5.0,42.87,8.0
35.6,50.36,210.0,30.18,6.0,53.6,12.0
37.4,47.44,200.0,30.21,6.0,57.2,14.000000000000002
39.2,54.34,120.0,30.24,6.0,55.4,13.0
44.6,62.69,210.0,30.3,6.0,57.2,14.000000000000002
44.6,62.69,210.0,30.42,7.0,57.2,14.000000000000002
46.4,67.12,180.0,30.33,7.0,57.2,14.000000000000002
47.84,65.58,110.0,30.3,7.0,59.36,15.200000000000001
48.2,55.63,290.0,30.12,5.0,64.4,18.000000000000004
50.0,63.38,310.0,30.15,5.0,62.6,17.0
52.34,74.12,130.0,30.12,6.0,60.62,15.899999999999999
53.6,77.14,230.0,30.09,7.0,60.8,16.0
50.0,76.82,150.0,29.97,7.0,57.2,14.000000000000002
53.6,77.14,220.0,29.88,7.0,60.8,16.0
39.2,34.8,280.0,30.0,6.0,68.0,20.0
34.0,26.79,270.0,30.06,19.0,69.62,20.900000000000002
50.0,67.54,60.0,30.18,7.0,60.8,16.0
49.46,70.13,210.0,29.83,19.0,59.18,15.100000000000001
33.62,27.57,290.0,29.74,19.0,68.36,20.200000000000003
33.8,33.93,310.0,29.94,7.0,62.6,17.0
42.8,54.86,210.0,30.03,7.0,59.0,15.0
47.12,63.01,210.0,30.0,19.0,59.72,15.399999999999999
51.8,72.2,210.0,29.91,7.0,60.8,16.0
45.5,64.46,210.0,30.12,19.0,57.38,14.100000000000001
