relh,drct,sknt,alti,vsby,temp_c,dewpoint_c,feel_c
41.42,200,4,30.06,6.21,25,11,25
33.85,230,11,30,1.86,25,8,24.43888889
53.03,280,4,30.03,6.21,22,12,22
59.97,280,5,30.09,6.21,20,12,20
49.37,40,11,30.09,6.21,21,10,21
46.43,50,12,30.06,6.21,22,10,22
46.71,300,6,30.09,1.86,23,11,23
53.55,310,5,30.12,1.24,24,14,24
30.07,60,7,30.06,6.21,27,8,26.42222222
23.07,210,6,30.03,3.73,28,5,26.82777778
49.64,350,9,30.06,2.49,22,11,22
59.74,50,4,29.97,6.21,19,11,19
56.13,250,5.83,29.97,3.73,20,11,20
35.09,230,16,29.97,6.21,21,5,21
30.77,220,9,30.03,6.21,22,4,21.06111111
33.85,130,2,29.97,6.21,25,8,24.43888889
27.53,200,9,29.94,3.73,25,5,24.27222222
49.1,290,9,29.85,3.73,20,9,20
48.83,230,15,29.94,6.21,19,8,19
42.57,270,12,30,6.21,19,6,19
39.72,250,7,30.15,6.21,19,5,19
34.8,190,12,30.09,6.21,20,4,20
37.61,230,12,30,3.73,21,6,21
32.14,240,15,29.97,6.21,19,2,19
48,280,9,30.15,6.21,16,5,16
51.18,30,8,30.27,3.73,15,5,15
34.51,60,16,30.06,6.21,19,3,19
26.98,210,16,29.83,3.73,23,3,22.06111111
16.9,210,11,29.8,2.49,26,-1,25.09444444
15.48,170,20,29.68,6.21,25,-3,23.96111111
28.68,360,7,29.94,6.21,22,3,21.00555556
24.59,30,8,30.09,6.21,21,0,21
30.77,270,7,29.91,6.21,22,4,21.06111111
39.14,290,17,30,6.21,17,3,17
47.72,290,14,30.12,6.21,15,4,15
62.92,270,9,30.09,6.21,15,8,15
38.85,300,6,30.09,6.21,16,2,16
32.14,210,7,30,6.21,19,2,19
20.23,210,19,29.83,3.73,23,-1,21.88333333
28.96,240,10,29.88,6.21,23,4,22.11111111
27.81,180,4,29.94,6.21,26,6,25.38333333
14.18,200,19,29.8,3.73,29,-1,27.36666667
21.51,360,2,29.97,6.21,28,4,26.78333333
15.92,210,6,29.91,2.49,32,3,29.81666667
19.64,290,7,29.85,2.49,32,6,29.96111111
17.09,220,14,29.8,3.73,32,4,29.85
44.25,340,6,29.94,2.49,25,12,25
15.49,210,9,29.88,3.73,35,5,32.61111111
32.46,340,8,29.97,2.49,28,10,27.21666667
25.26,280,8,30,2.49,30,8,28.45555556
22.78,360,5,29.94,6.21,33,9,31.16111111
24.19,180,11,29.85,6.21,26,4,25.28888889
46.16,350,7,30.03,6.21,21,9,21
46.16,20,7,30,6.21,21,9,21
35.37,40,7,29.88,6.21,22,6,21.17777778
52.51,270,11,29.68,6.21,20,10,20
49.1,280,13,29.83,6.21,20,9,20
