,temp_c
0,3.3999999999999986
1,5.0
2,2.3000000000000003
3,0.9999999999999984
4,2.000000000000001
5,0.9999999999999984
6,0.09999999999999984
7,0.5555555555555556
8,0.9999999999999984
9,2.3000000000000003
10,2.000000000000001
11,2.000000000000001
12,1.5000000000000016
13,4.000000000000002
14,6.666666666666667
15,8.0
16,9.200000000000001
17,7.699999999999999
18,8.0
19,5.0
20,5.999999999999998
21,8.499999999999998
22,7.5
23,6.111111111111111
24,5.0
25,2.7777777777777777
26,7.000000000000001
27,7.1000000000000005
28,5.3
29,3.800000000000002
30,4.000000000000002
31,5.0
32,8.499999999999998
33,9.000000000000002
34,8.499999999999998
35,12.0
36,7.1000000000000005
37,5.555555555555555
38,3.199999999999999
39,5.999999999999998
40,2.999999999999999
41,4.000000000000002
42,5.0
43,4.000000000000002
44,5.0
45,4.000000000000002
46,5.3
47,8.499999999999998
48,5.999999999999998
49,5.999999999999998
50,5.999999999999998
51,7.8999999999999995
52,5.0
53,5.0
54,10.999999999999998
55,9.444444444444445
56,8.399999999999999
57,10.699999999999998
58,7.300000000000001
59,9.8
60,10.2
61,6.400000000000002
62,7.300000000000001
63,9.444444444444445
64,7.1000000000000005
65,5.3
66,7.000000000000001
67,8.0
68,5.999999999999998
69,7.000000000000001
70,8.699999999999998
71,9.000000000000002
72,13.0
73,14.000000000000002
74,13.0
75,15.0
76,17.0
77,12.0
78,13.199999999999998
79,13.0
80,12.0
81,11.500000000000002
82,17.0
83,14.444444444444445
84,13.333333333333334
85,14.000000000000002
86,13.333333333333334
87,12.3
88,12.0
89,7.222222222222222
90,10.0
91,10.999999999999998
92,11.400000000000002
93,12.0
94,14.000000000000002
95,16.0
96,10.999999999999998
97,17.0
98,18.000000000000004
99,17.299999999999997
100,14.200000000000001
101,14.000000000000002
102,15.0
103,12.399999999999999
104,14.000000000000002
105,14.200000000000001
106,17.4
107,19.0
108,17.0
109,14.444444444444445
110,13.0
111,14.300000000000002
112,17.299999999999997
113,20.100000000000005
114,18.000000000000004
115,18.000000000000004
116,20.100000000000005
117,21.0
118,17.4
119,15.299999999999999
120,17.0
121,10.0
122,10.999999999999998
123,12.0
124,15.0
125,15.0
126,13.0
127,10.0
128,12.0
129,13.0
130,10.100000000000001
131,10.999999999999998
132,14.100000000000001
133,15.0
134,18.000000000000004
135,16.3
136,18.000000000000004
137,20.0
138,21.599999999999998
139,22.5
140,25.0
141,24.444444444444443
142,28.000000000000004
143,28.5
144,20.300000000000004
145,18.000000000000004
146,18.000000000000004
147,19.099999999999998
148,16.5
149,19.6
150,16.2
151,14.200000000000001
152,23.000000000000004
153,23.000000000000004
154,28.000000000000004
155,28.000000000000004
156,24.0
157,21.0
158,20.0
159,21.0
160,20.0
161,20.0
162,20.0
163,21.2
164,21.0
165,19.0
166,20.300000000000004
167,23.099999999999998
168,20.0
169,16.0
170,19.0
171,24.099999999999998
172,27.1
173,26.999999999999996
174,26.0
175,27.5
176,26.999999999999996
177,30.0
178,28.333333333333332
179,28.000000000000004
180,25.700000000000003
181,27.22222222222222
182,25.0
183,26.11111111111111
184,24.0
185,24.0
186,23.5
187,23.000000000000004
188,26.900000000000002
189,30.900000000000002
190,29.0
191,26.666666666666668
192,23.099999999999998
193,21.11111111111111
194,21.0
195,21.0
196,21.999999999999996
197,21.599999999999998
198,25.0
199,29.0
200,29.0
201,25.0
202,21.999999999999996
203,20.0
204,25.0
205,25.555555555555557
206,24.0
207,26.0
208,23.5
209,21.999999999999996
210,22.299999999999997
211,25.0
212,23.400000000000002
213,23.000000000000004
214,21.999999999999996
215,19.200000000000003
216,21.0
217,21.11111111111111
218,21.0
219,25.0
220,25.0
221,19.200000000000003
222,21.999999999999996
223,19.099999999999998
224,18.000000000000004
225,18.099999999999998
226,22.1
227,25.0
228,21.0
229,21.0
230,21.0
231,21.0
232,24.099999999999998
233,22.299999999999997
234,21.999999999999996
235,20.700000000000003
236,18.000000000000004
237,21.0
238,18.333333333333332
239,20.0
240,19.0
241,19.0
242,20.0
243,21.3
244,21.5
245,21.999999999999996
246,21.999999999999996
247,21.3
248,21.0
249,19.0
250,20.0
251,21.999999999999996
252,21.999999999999996
253,22.1
254,20.700000000000003
255,18.333333333333332
256,20.0
257,16.8
258,17.6
259,15.555555555555555
260,17.0
261,18.200000000000003
262,21.999999999999996
263,21.799999999999997
264,24.0
265,18.200000000000003
266,14.444444444444445
267,14.000000000000002
268,14.000000000000002
269,16.0
270,17.0
271,17.1
272,16.0
273,16.400000000000002
274,16.400000000000002
275,18.000000000000004
276,16.3
277,18.000000000000004
278,18.000000000000004
279,18.000000000000004
280,21.0
281,18.000000000000004
282,20.0
283,18.600000000000005
284,15.0
285,12.3
286,11.500000000000002
287,13.0
288,13.0
289,13.0
290,14.300000000000002
291,13.199999999999998
292,9.100000000000001
293,12.3
294,14.000000000000002
295,12.0
296,11.11111111111111
297,12.0
298,14.000000000000002
299,17.0
300,16.0
301,15.0
302,14.000000000000002
303,13.0
304,14.000000000000002
305,15.200000000000001
306,16.400000000000002
307,18.333333333333332
308,17.1
309,12.0
310,9.100000000000001
311,9.100000000000001
312,9.000000000000002
313,8.199999999999998
314,14.700000000000001
315,12.0
316,10.399999999999999
317,8.199999999999998
318,8.1
319,7.000000000000001
320,7.300000000000001
321,10.399999999999999
322,12.0
323,8.399999999999999
324,8.0
325,7.300000000000001
326,7.5
327,5.1
328,2.5
329,3.699999999999998
330,1.4000000000000017
331,1.5000000000000016
332,1.5000000000000016
333,2.000000000000001
334,0.19999999999999968
335,0.0
336,2.999999999999999
337,6.300000000000002
338,4.6000000000000005
339,-0.7000000000000008
340,2.000000000000001
341,3.099999999999999
342,4.100000000000001
343,7.000000000000001
344,9.000000000000002
345,6.111111111111111
346,4.300000000000001
347,5.0
348,5.0
349,7.000000000000001
350,0.0
351,0.19999999999999968
352,0.5555555555555556
353,0.9999999999999984
354,2.000000000000001
355,2.000000000000001
356,2.2222222222222223
357,2.000000000000001
358,0.0
359,1.6666666666666667
360,4.444444444444445
361,8.0
362,9.444444444444445
363,8.0
364,7.000000000000001
365,7.1000000000000005
366,4.000000000000002
367,2.5999999999999996
368,5.0
369,7.1000000000000005
370,5.555555555555555
371,10.699999999999998
372,10.2
373,7.000000000000001
374,8.399999999999999
375,8.0
376,13.0
377,14.000000000000002
378,12.0
379,11.600000000000001
380,12.3
381,9.300000000000002
382,7.300000000000001
383,7.1000000000000005
384,5.199999999999999
385,4.300000000000001
386,7.000000000000001
387,8.0
388,7.000000000000001
389,8.333333333333334
390,7.000000000000001
391,3.099999999999999
392,2.000000000000001
393,2.000000000000001
394,5.199999999999999
395,4.444444444444445
396,8.0
397,10.399999999999999
398,10.0
399,12.100000000000001
400,13.0
401,12.0
402,12.100000000000001
403,10.0
404,10.0
405,10.999999999999998
406,13.0
407,10.999999999999998
408,8.599999999999998
409,10.0
410,7.300000000000001
411,10.0
412,10.0
413,8.333333333333334
414,6.500000000000002
415,5.999999999999998
416,7.3999999999999995
417,7.222222222222222
418,11.199999999999998
419,14.200000000000001
420,14.000000000000002
421,10.999999999999998
422,9.444444444444445
423,5.0
424,5.0
425,7.1000000000000005
426,4.444444444444445
427,7.6000000000000005
428,7.699999999999999
429,7.1000000000000005
430,10.0
431,12.0
432,10.999999999999998
433,13.0
434,12.0
435,13.0
436,10.2
437,12.0
438,14.000000000000002
439,10.0
440,10.2
441,8.0
442,12.0
443,13.0
444,15.0
445,16.0
446,17.0
447,16.3
448,18.5
449,14.100000000000001
450,15.0
451,15.555555555555555
452,16.0
453,12.0
454,18.000000000000004
455,16.0
456,17.5
457,15.0
458,14.100000000000001
459,13.0
460,23.000000000000004
461,21.11111111111111
462,21.0
463,19.0
464,20.100000000000005
465,20.0
466,14.000000000000002
467,13.0
468,13.199999999999998
469,17.0
470,17.0
471,20.0
472,19.0
473,24.444444444444443
474,26.0
475,25.799999999999997
476,26.0
477,27.1
478,23.000000000000004
479,21.999999999999996
480,16.0
481,17.0
482,17.0
483,20.100000000000005
484,21.0
485,20.0
486,17.0
487,15.200000000000001
488,18.000000000000004
489,21.0
490,25.0
491,23.000000000000004
492,20.0
493,20.100000000000005
494,21.11111111111111
495,18.099999999999998
496,18.400000000000002
497,18.000000000000004
498,17.0
499,16.0
500,19.0
501,18.000000000000004
502,19.0
503,19.899999999999995
504,18.200000000000003
505,21.0
506,19.0
507,19.0
508,19.299999999999997
509,20.0
510,16.0
511,16.0
512,16.2
513,19.444444444444443
514,21.0
515,18.099999999999998
516,21.0
517,24.0
518,26.0
519,26.999999999999996
520,19.444444444444443
521,15.0
522,19.0
523,18.000000000000004
524,17.9
525,16.0
526,18.600000000000005
527,15.0
528,21.0
529,23.000000000000004
530,20.0
531,17.0
532,15.0
533,18.000000000000004
534,18.400000000000002
535,21.0
536,21.0
537,19.0
538,18.88888888888889
539,19.200000000000003
540,23.5
541,28.200000000000003
542,30.200000000000003
543,20.0
544,20.300000000000004
545,20.0
546,20.300000000000004
547,23.000000000000004
548,24.0
549,25.0
550,25.200000000000003
551,20.100000000000005
552,19.0
553,19.0
554,21.999999999999996
555,22.22222222222222
556,24.200000000000003
557,19.299999999999997
558,18.000000000000004
559,24.0
560,25.0
561,19.0
562,19.200000000000003
563,19.444444444444443
564,20.0
565,18.000000000000004
566,18.400000000000002
567,21.0
568,19.0
569,23.000000000000004
570,23.5
571,20.0
572,21.0
573,24.444444444444443
574,21.0
575,22.1
576,24.444444444444443
577,28.000000000000004
578,28.000000000000004
579,29.0
580,21.5
581,25.0
582,20.0
583,20.0
584,21.399999999999995
585,21.399999999999995
586,24.0
587,22.22222222222222
588,24.0
589,21.5
590,22.700000000000003
591,23.000000000000004
592,21.999999999999996
593,21.0
594,16.2
595,21.0
596,21.599999999999998
597,23.8
598,23.000000000000004
599,16.11111111111111
600,21.999999999999996
601,21.0
602,17.0
603,18.000000000000004
604,19.444444444444443
605,18.000000000000004
606,17.22222222222222
607,18.000000000000004
608,20.300000000000004
609,26.5
610,23.000000000000004
611,19.0
612,19.0
613,18.600000000000005
614,17.0
615,20.4
616,21.3
617,22.5
618,21.0
619,21.2
620,19.0
621,19.444444444444443
622,20.0
623,22.399999999999995
624,18.000000000000004
625,16.11111111111111
626,18.000000000000004
627,19.099999999999998
628,18.200000000000003
629,19.0
630,19.0
631,20.0
632,21.399999999999995
633,21.999999999999996
634,21.599999999999998
635,25.300000000000004
636,27.5
