dwpf,relh,drct,sknt,alti,mslp,vsby,temp_c
14.0,12.74,184.99445061043286,3.0,30.14,1019.7,10.0,19.444444444444443
26.0,19.77,310.0,5.0,30.03,1015.7,10.0,20.555555555555557
23.0,16.26,0.0,0.0,30.07,1017.3,10.0,21.666666666666668
21.0,14.51,120.0,6.0,30.07,1017.2,10.0,22.22222222222222
25.0,17.67,240.0,4.0,30.05,1016.3,10.0,21.666666666666668
27.0,21.29,0.0,0.0,30.01,1016.3,10.0,20.0
28.0,23.11,0.0,0.0,29.97,1013.8,10.0,19.444444444444443
24.0,19.61,140.0,6.0,30.15,1019.9,10.0,19.444444444444443
18.0,15.13,0.0,0.0,30.14,1019.5,10.0,19.444444444444443
18.0,14.57,0.0,0.0,30.1,1018.1,10.0,20.0
17.0,12.25,40.0,3.0,30.13,1019.3,10.0,22.22222222222222
15.0,10.84,120.0,7.0,30.14,1019.3,10.0,22.77777777777778
19.0,14.71,0.0,0.0,30.12,1018.8,10.0,20.555555555555557
30.0,21.74,0.0,4.0,29.97,1013.5,10.0,21.666666666666668
28.0,18.75,0.0,3.0,30.1,1017.8,10.0,22.77777777777778
29.0,23.1,0.0,0.0,30.1,1018.3,10.0,20.0
26.0,21.97,0.0,4.0,29.92,1012.1,10.0,18.88888888888889
26.0,24.45,0.0,0.0,29.93,1012.7,10.0,17.22222222222222
43.0,46.22,150.0,7.0,29.76,1006.5,10.0,17.77777777777778
38.0,42.33,110.0,7.0,29.73,1005.8,10.0,16.11111111111111
53.0,80.64,180.0,21.0,29.32,991.7,10.0,15.0
53.6,77.14,170.0,19.0,29.28,991.7,10.0,16.0
37.0,52.61,230.0,8.0,29.6,1001.4,10.0,12.222222222222221
29.0,34.01,0.0,0.0,30.11,1018.9,10.0,13.88888888888889
31.0,33.04,170.0,5.0,29.99,1014.8,10.0,15.555555555555555
35.0,32.87,150.0,4.0,29.92,1012.0,10.0,18.333333333333332
46.0,51.93,0.0,0.0,29.84,1009.2,10.0,17.77777777777778
47.0,61.79,0.0,0.0,29.85,1009.9,10.0,15.555555555555555
41.0,42.82,170.0,4.0,30.01,1015.2,10.0,17.77777777777778
36.0,34.06,130.0,8.0,29.91,1011.8,10.0,18.333333333333332
39.0,37.0,130.0,4.0,29.88,1010.6,10.0,18.88888888888889
39.0,39.65,260.0,3.0,29.89,1011.2,10.0,17.77777777777778
38.0,30.95,260.0,3.0,29.76,1011.2,10.0,21.11111111111111
39.0,34.55,0.0,0.0,29.76,1011.2,10.0,20.0
41.0,41.49,0.0,0.0,29.67,1003.5,10.0,18.333333333333332
43.0,44.78,0.0,5.0,30.03,1015.8,10.0,18.333333333333332
40.0,39.79,0.0,4.0,29.9,1011.1,10.0,18.333333333333332
41.0,42.82,0.0,0.0,29.87,1010.4,10.0,17.77777777777778
34.0,37.37,360.0,3.0,29.91,1012.1,10.0,15.555555555555555
32.0,32.17,240.0,4.0,29.91,1011.8,10.0,16.666666666666668
31.0,32.0,0.0,0.0,29.89,1011.3,10.0,16.11111111111111
39.0,44.16,300.0,5.0,30.07,1017.5,10.0,16.11111111111111
40.0,41.06,220.0,3.0,30.08,1017.7,10.0,17.77777777777778
33.0,24.6,260.0,5.0,29.97,1013.5,10.0,21.666666666666668
29.0,18.2,300.0,5.0,29.98,1013.7,10.0,23.88888888888889
30.0,19.72,0.0,0.0,29.97,1013.7,10.0,23.333333333333332
25.0,15.0,0.0,3.0,29.95,1012.9,10.0,24.444444444444443
27.0,16.78,0.0,0.0,29.91,1011.4,10.0,23.88888888888889
28.0,18.75,0.0,0.0,29.88,1010.6,10.0,22.77777777777778
34.0,24.74,0.0,4.0,29.84,1009.0,10.0,22.22222222222222
34.0,25.5,0.0,0.0,29.8,1007.8,10.0,21.666666666666668
44.0,53.65,240.0,12.0,29.92,1012.0,10.0,16.11111111111111
40.0,49.08,240.0,7.0,29.92,1012.1,10.0,15.0
23.0,24.76,220.0,5.0,30.2,1021.9,10.0,15.0
28.0,25.54,0.0,0.0,30.03,1016.1,10.0,17.77777777777778
34.0,26.46,0.0,5.0,29.99,1014.3,10.0,21.11111111111111
33.0,27.31,260.0,4.0,29.99,1014.4,10.0,20.0
25.0,18.9,150.0,6.0,29.68,1003.8,10.0,20.555555555555557
30.0,24.14,170.0,5.0,29.64,1002.6,10.0,20.0
45.0,49.85,0.0,0.0,30.07,1017.4,10.0,17.77777777777778
40.0,32.23,160.0,6.0,29.96,1013.1,10.0,21.666666666666668
38.0,29.83,170.0,5.0,29.91,1011.7,10.0,21.666666666666668
37.0,30.81,250.0,6.0,29.9,1011.4,10.0,20.555555555555557
29.0,23.98,180.0,6.0,29.94,1012.7,10.0,19.444444444444443
35.0,23.3,170.0,8.0,29.78,1006.8,10.0,23.88888888888889
39.0,29.1,240.0,5.0,29.73,1005.1,10.0,22.77777777777778
43.0,63.72,0.0,0.0,30.06,1017.1,10.0,12.777777777777779
44.0,66.41,100.0,3.0,30.04,1016.5,10.0,12.777777777777779
29.0,31.68,240.0,13.0,29.81,1008.5,10.0,15.0
28.0,28.45,0.0,0.0,30.06,1017.2,10.0,16.11111111111111
34.0,28.32,260.0,4.0,30.01,1015.3,10.0,20.0
