dwpf,relh,drct,alti,vsby,feel,temp_c
25.52,60.14,340.0,29.9567850536441,17.0,32.9,3.3999999999999986
30.2,65.16,260.0,30.03,6.21,33.84,5.0
28.22,72.68,80.0,30.03,17.0,29.21,2.3000000000000003
26.6,74.63,290.0,30.06,5.59,28.53,0.9999999999999984
26.6,69.46,210.0,29.56,6.21,31.62,2.000000000000001
32.0,93.03,80.0,29.47,4.35,26.97,0.9999999999999984
28.58,86.4,10.0,29.47,10.0,24.33,0.09999999999999984
28.22,82.11,40.0,29.47,11.0,26.83,0.5555555555555556
26.6,74.63,10.0,30.12,6.21,26.33,0.9999999999999984
30.38,79.38,40.0,30.12,19.0,28.16,2.3000000000000003
30.2,80.51,30.0,30.09,3.11,31.62,2.000000000000001
32.0,86.59,110.0,29.83,3.11,27.99,2.000000000000001
33.62,95.78,50.0,29.83,2.0,31.78,1.5000000000000016
37.4,93.19,10.0,29.65,4.97,35.83,4.000000000000002
41.72,91.41,170.0,29.65,6.0,38.09,6.666666666666667
44.6,93.4,170.0,29.59,2.49,43.5,8.0
40.0,71.92,260.0,29.59,14.0,43.39,9.200000000000001
43.52,91.48,240.0,29.59,9.0,42.22,7.699999999999999
42.8,87.19,90.0,30.18,5.59,43.5,8.0
35.6,80.93,100.0,29.94,5.59,33.1,5.0
33.8,70.28,130.0,30.12,6.21,39.22,5.999999999999998
45.86,94.71,170.0,30.12,9.0,42.15,8.499999999999998
45.14,98.64,220.0,30.12,1.5,44.12,7.5
37.76,81.66,260.0,30.12,13.0,38.75,6.111111111111111
33.8,75.33,40.0,30.47,4.97,36.37,5.0
25.7,63.22,60.0,30.47,4.97,30.32,2.7777777777777777
41.0,87.09,290.0,30.06,5.59,40.14,7.000000000000001
35.0,68.51,300.0,30.06,15.0,39.4,7.1000000000000005
36.5,82.13,350.0,30.06,15.0,34.93,5.3
26.0,59.79,290.0,30.06,19.0,33.12,3.800000000000002
30.2,69.88,260.0,29.68,6.21,31.17,4.000000000000002
26.6,56.22,300.0,29.94,6.21,34.25,5.0
44.24,89.05,250.0,29.94,25.0,40.36,8.499999999999998
44.6,87.28,230.0,29.74,6.21,42.62,9.000000000000002
45.32,92.79,220.0,29.74,12.0,42.96,8.499999999999998
39.2,58.02,220.0,29.56,6.21,53.6,12.0
39.74,82.37,20.0,29.56,7.0,40.36,7.1000000000000005
35.0,76.51,10.0,29.56,7.0,37.45,5.555555555555555
34.88,89.24,10.0,29.56,4.0,32.47,3.199999999999999
28.4,56.48,40.0,29.85,6.21,36.94,5.999999999999998
23.0,55.68,30.0,30.03,6.21,29.74,2.999999999999999
19.4,44.55,30.0,30.18,6.21,30.79,4.000000000000002
35.6,80.93,20.0,30.21,6.21,35.75,5.0
28.4,64.93,10.0,30.15,6.21,32.98,4.000000000000002
