dwpf,relh,drct,sknt,alti,mslp,vsby,temp_c
10.0,10.3,0.0,0.0,30.12,1019.3,10.0,20.0
17.0,13.1,0.0,3.0,30.01,1015.3,10.0,21.11111111111111
20.0,14.29,290.0,3.0,30.05,1016.8,10.0,21.666666666666668
17.0,11.81,80.0,8.0,30.07,1017.2,10.0,22.77777777777778
21.0,14.51,0.0,0.0,30.02,1015.8,10.0,22.22222222222222
25.0,19.62,0.0,4.0,29.99,1014.8,10.0,20.0
25.0,19.62,0.0,0.0,29.95,1013.3,10.0,20.0
21.0,16.0,70.0,12.0,30.11,1018.8,10.0,20.555555555555557
17.0,13.1,70.0,4.0,30.12,1019.0,10.0,21.11111111111111
15.0,12.02,90.0,6.0,30.07,1017.4,10.0,21.11111111111111
14.0,10.34,70.0,8.0,30.1,1018.5,10.0,22.77777777777778
14.0,9.67,110.0,3.0,30.1,1018.3,10.0,23.88888888888889
17.0,12.25,0.0,0.0,30.09,1018.1,10.0,22.22222222222222
27.0,18.6,20.0,10.0,29.96,1013.6,10.0,22.22222222222222
26.0,17.92,280.0,3.0,30.08,1017.8,10.0,22.22222222222222
29.0,22.26,240.0,5.0,30.08,1017.9,10.0,20.555555555555557
23.0,18.06,150.0,6.0,29.9,1011.6,10.0,20.0
23.0,20.08,0.0,0.0,29.91,1012.0,10.0,18.333333333333332
44.0,43.57,140.0,10.0,29.79,1007.7,10.0,19.444444444444443
40.0,42.65,150.0,10.0,29.72,1005.8,10.0,17.22222222222222
40.0,45.74,80.0,8.0,29.67,1004.0,10.0,16.11111111111111
53.0,75.14,170.0,33.0,29.27,990.2,9.0,16.11111111111111
35.0,45.26,270.0,14.0,29.9,1011.9,10.0,13.333333333333334
31.0,36.87,300.0,5.0,30.12,1019.3,10.0,13.88888888888889
34.0,36.19,300.0,3.0,29.99,1015.2,10.0,16.11111111111111
33.0,29.25,300.0,4.0,29.9,1011.6,10.0,18.88888888888889
38.0,40.75,190.0,4.0,29.9,1011.7,10.0,16.666666666666668
45.0,51.77,190.0,4.0,29.9,1011.6,10.0,17.22222222222222
43.0,43.13,110.0,3.0,29.99,1014.9,10.0,18.88888888888889
36.0,31.8,90.0,9.0,29.88,1011.1,10.0,19.444444444444443
39.0,33.3,230.0,6.0,29.86,1010.1,10.0,20.555555555555557
